merchant_id,merchant_name,category,onboarding_date,kyc_status,merchant_age_days
M0398,Bhasin PLC,fashion,2024-12-12,VERIFIED,475
M0399,"Narayan, Das and Roy",restaurant,2025-04-28,VERIFIED,338
M0400,Sampath-Behl,restaurant,2025-06-24,VERIFIED,281
M0401,Muni-Pandey,fashion,2024-12-04,VERIFIED,483
M0402,Tripathi and Sons,services,2025-09-06,VERIFIED,207
M0403,Subramaniam and Sons,education,2026-02-15,VERIFIED,45
M0404,Palla PLC,ecommerce,2024-11-27,VERIFIED,490
M0405,Contractor-Mallick,services,2025-10-09,VERIFIED,174
M0406,"Kara, Sanghvi and Bal",healthcare,2025-11-17,VERIFIED,135
M0407,"Loke, Balakrishnan and Gole",fashion,2026-02-13,VERIFIED,47
M0408,More-Nori,healthcare,2024-12-23,VERIFIED,464
M0409,Ahuja-Golla,ecommerce,2026-03-01,VERIFIED,31
M0410,Rattan Inc,services,2024-07-30,VERIFIED,610
M0411,Balasubramanian Inc,SaaS,2025-08-22,PENDING,222
M0412,"Wali, Kale and Puri",SaaS,2024-12-09,VERIFIED,478
M0413,Setty-Om,ecommerce,2025-03-24,PENDING,373
M0414,Pingle LLC,services,2023-12-17,VERIFIED,836
M0415,"Nair, Chad and Ben",ecommerce,2025-03-30,PENDING,367
M0416,Dugar PLC,fashion,2024-08-13,LIMITED,596
M0417,Bumb LLC,ecommerce,2025-09-24,VERIFIED,189
M0418,Samra-Sunder,education,2026-01-12,VERIFIED,79
M0419,"Sathe, Sachdeva and Mahajan",electronics,2024-10-22,LIMITED,526
M0420,Vala Inc,services,2026-01-14,PENDING,77
M0421,Sani-Choudhry,SaaS,2024-12-27,LIMITED,460
M0422,Sur-Vyas,ecommerce,2025-11-29,VERIFIED,123
M0423,"Morar, Bath and Kannan",ecommerce,2025-04-24,VERIFIED,342
M0424,Bhakta-Amble,ecommerce,2023-12-07,VERIFIED,846
M0425,Mitra and Sons,travel,2025-01-18,VERIFIED,438
M0426,Kumer LLC,healthcare,2025-07-30,VERIFIED,245
M0427,Dar-Amble,electronics,2025-03-18,VERIFIED,379
M0428,Sani-Gill,healthcare,2025-09-19,VERIFIED,194
M0429,Rai PLC,ecommerce,2023-05-18,VERIFIED,1049
M0430,"Karpe, Tella and Pandya",healthcare,2025-10-19,VERIFIED,164
M0431,Ranganathan Ltd,services,2025-07-11,VERIFIED,264
M0432,Sarin Inc,education,2025-02-12,VERIFIED,413
M0433,Brahmbhatt-Munshi,SaaS,2025-04-05,VERIFIED,361
M0434,"Sanghvi, Ravel and Sahni",healthcare,2025-03-09,VERIFIED,388
M0435,Contractor-Ravel,ecommerce,2025-09-16,VERIFIED,197
M0436,Nair and Sons,electronics,2025-08-06,VERIFIED,238
M0437,"Sharma, Pathak and Chakrabarti",ecommerce,2024-11-07,LIMITED,510
M0438,Cherian-Kohli,restaurant,2024-11-23,VERIFIED,494
M0439,Rattan-Viswanathan,education,2025-03-30,VERIFIED,367
M0440,Randhawa LLC,travel,2024-06-27,VERIFIED,643
M0441,"Nori, Kant and Nath",healthcare,2024-10-25,VERIFIED,523
M0442,Bose PLC,ecommerce,2024-12-02,VERIFIED,485
M0443,"Comar, Wali and Uppal",education,2026-01-16,LIMITED,75
M0444,Palla LLC,electronics,2025-04-02,VERIFIED,364
M0445,"Divan, Keer and Chauhan",fashion,2025-05-14,VERIFIED,322
M0446,Kunda and Sons,SaaS,2024-05-06,VERIFIED,695
M0447,Dua Ltd,services,2025-07-21,VERIFIED,254
M0448,Goel Ltd,travel,2025-06-01,VERIFIED,304
M0449,Shetty-Sen,ecommerce,2025-11-30,VERIFIED,122
M0450,"Naidu, Mutti and Dora",travel,2025-11-11,VERIFIED,141
M0451,Bir-Singh,ecommerce,2024-05-05,PENDING,696
M0452,Mitter-Maharaj,services,2025-03-10,VERIFIED,387
M0453,"Bhalla, Pandey and Tripathi",SaaS,2023-12-06,VERIFIED,847
M0454,Mukherjee Group,electronics,2025-07-24,LIMITED,251
M0455,Barad-Bhandari,ecommerce,2025-12-31,VERIFIED,91
M0456,Mangat-Bose,electronics,2025-08-18,VERIFIED,226
M0457,"Chana, Tripathi and Rajagopalan",services,2025-09-14,VERIFIED,199
M0458,Barman-Sengupta,restaurant,2025-01-09,VERIFIED,447
M0459,"Guha, Nagy and Soni",education,2025-01-20,VERIFIED,436
M0460,"Dora, Bhatia and Seshadri",travel,2025-02-25,VERIFIED,400
M0461,Oza Ltd,travel,2023-06-25,VERIFIED,1011
M0462,Thaman Ltd,ecommerce,2024-07-20,VERIFIED,620
M0463,Baral and Sons,services,2025-11-03,VERIFIED,149
M0464,"Sarma, Sarna and Viswanathan",fashion,2024-10-14,VERIFIED,534
M0465,"Dutt, Patla and Pradhan",travel,2025-06-14,VERIFIED,291
M0466,Ram-Rege,SaaS,2025-07-29,VERIFIED,246
M0467,Ben-Natt,SaaS,2024-06-02,VERIFIED,668
M0468,Narayan Inc,services,2025-11-10,LIMITED,142
M0469,"Raju, Mander and Krishnan",ecommerce,2024-11-05,VERIFIED,512
M0470,"Doctor, Nath and Bumb",restaurant,2024-12-26,VERIFIED,461
M0471,"Dhaliwal, Palla and Mukherjee",grocery,2025-11-12,PENDING,140
M0472,"Ramanathan, Dayal and Chad",restaurant,2026-01-18,VERIFIED,73
M0473,Puri-Narasimhan,ecommerce,2025-07-06,VERIFIED,269
M0474,Vyas Inc,ecommerce,2024-09-05,VERIFIED,573
M0475,"Sampath, Trivedi and Pathak",fashion,2025-04-03,VERIFIED,363
M0476,Patil LLC,fashion,2024-05-19,VERIFIED,682
M0477,Kala LLC,grocery,2025-04-19,VERIFIED,347
M0478,Handa-Kara,travel,2024-04-21,VERIFIED,710
M0479,Dubey Inc,travel,2025-09-29,VERIFIED,184
M0480,Chaudhuri-Tripathi,grocery,2025-02-26,VERIFIED,399
M0481,"Vyas, Barad and Nayar",grocery,2025-08-30,VERIFIED,214
M0482,"Deep, Puri and Dube",electronics,2025-07-12,VERIFIED,263
M0483,Golla Ltd,travel,2025-06-01,VERIFIED,304
M0484,"Gandhi, Sarma and Bassi",fashion,2025-04-04,VERIFIED,362
M0485,Patla-Khanna,ecommerce,2025-10-18,VERIFIED,165
M0486,Mane-Sen,grocery,2025-03-10,VERIFIED,387
M0487,Walla and Sons,restaurant,2025-06-12,VERIFIED,293
M0488,Singh-Hari,electronics,2025-12-27,VERIFIED,95
M0489,Sastry-Shenoy,travel,2026-01-27,VERIFIED,64
M0490,Raja-Thakkar,restaurant,2024-09-03,VERIFIED,575
M0491,"Sahota, Edwin and Iyengar",SaaS,2025-07-21,VERIFIED,254
M0492,"Devi, Krishna and Ben",SaaS,2026-01-04,VERIFIED,87
M0493,"Srivastava, Prabhu and Chauhan",SaaS,2024-02-08,VERIFIED,783
M0494,"Varty, Dash and Mane",fashion,2025-02-12,VERIFIED,413
M0495,Dyal LLC,education,2025-04-10,VERIFIED,356
M0496,Varghese-Din,restaurant,2025-10-29,VERIFIED,154
M0497,Chand-Kapadia,grocery,2025-12-28,VERIFIED,94
M0498,Palla-Bala,travel,2025-05-14,VERIFIED,322
M0499,Bera-Randhawa,grocery,2025-06-24,VERIFIED,281
M0500,"Prakash, Keer and Raju",restaurant,2025-11-28,VERIFIED,124
